Staff ID,Password,Role
A001,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Administrator
A002,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Administrator
A003,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Administrator
A004,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Administrator
A005,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Administrator
A006,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Administrator
A007,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Administrator
P001,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Pharmacist
P002,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Pharmacist
P003,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Pharmacist
P004,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Pharmacist
P005,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Pharmacist
P006,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Pharmacist
P007,5e884898da28047151d0e56f8dc6292773603d0d6aabbdd62a11ef721d1542d8,Pharmacist

